	id	codigo_ngbe	codigo_ngbe_text	nombre_extendido	identificador_geografico	nombre_alternativo_2	nombre_alternativo_3	nombre_variante_1	nombre_variante_2	nombre_variante_3	fuente_extendido	fuente_idg	fuente_alternativo_2	fuente_alternativo_3	fuente_variante_1	fuente_variante_2	fuente_variante_3	idioma_extendido	idioma_idg	idioma_alternativo_2	idioma_alternativo_3	idioma_variante_1	idioma_variante_2	idioma_variante_3	estatus_extendido	estatus_idg	estatus_alternativo_2	estatus_alternativo_3	estatus_variante_1	estatus_variante_2	estatus_variante_3	long_etrs89_regcan95	lat_etrs89_regcan95	huso_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95	hojamtn_25	codigo_ine	provincias_nombre	provincias_id
1361	2706989	1.3	División administrativa.Municipio		Espejo							MITMA.IGN.NGMEP														Oficial						-4.55377679	37.68083913	30.0	362989.163906561	4171540.16092003	0944c4	14025000000	Córdoba	14
1362	2706990	1.3	División administrativa.Municipio		Espiel							MITMA.IGN.NGMEP														Oficial						-5.01731472	38.18906775	30.0	323332.16155888	4228716.12967238	0880c4	14026000000	Córdoba	14
1365	2707024	1.3	División administrativa.Municipio		Santaella							MITMA.IGN.NGMEP														Oficial						-4.84662658	37.56749755	30.0	336916.261817938	4159432.38017946	0966c3	14060000000	Córdoba	14
1366	2707027	1.3	División administrativa.Municipio		Valenzuela							MITMA.IGN.NGMEP														Oficial						-4.21935803	37.77497124	30.0	392615.275950155	4181548.1063162	0945c2	14063000000	Córdoba	14
1371	2707035	1.3	División administrativa.Municipio		Villanueva del Rey							MITMA.IGN.NGMEP														Oficial						-5.15082199	38.20045817	30.0	311668.25215201	4230243.25441786	0880c3	14071000000	Córdoba	14
1372	2707039	1.3	División administrativa.Municipio		Zuheros							MITMA.IGN.NGMEP														Oficial						-4.31649861	37.54383838	30.0	383699.994127843	4156019.17996734	0967c4	14075000000	Córdoba	14
1376	2707020	1.3	División administrativa.Municipio		Puente Genil							MITMA.IGN.NGMEP														Oficial						-4.77225259	37.3883058	30.0	343110.792946348	4139423.43320462	0988c3	14056000000	Córdoba	14
1377	2707022	1.3	División administrativa.Municipio		Rute							MITMA.IGN.NGMEP														Oficial						-4.37022684	37.32526431	30.0	378600.794110871	4131836.26519097	1007c1	14058000000	Córdoba	14
1439	2707018	1.3	División administrativa.Municipio		Pozoblanco							MITMA.IGN.NGMEP														Oficial						-4.84958064	38.37888591	30.0	338444.304214054	4249473.83311109	0859c3	14054000000	Córdoba	14
1448	2706988	1.3	División administrativa.Municipio		Encinas Reales							MITMA.IGN.NGMEP														Oficial						-4.48724904	37.27334279	30.0	368141.643163003	4126232.43277323	1007c1	14024000000	Córdoba	14
1463	2705246	1.3	División administrativa.Municipio		Antas							MITMA.IGN.NGMEP														Oficial						-1.91715315	37.24459175	30.0	596039.507777023	4122555.58511443	1014c4	04016000000	Almería	04
1486	2708364	1.3	División administrativa.Municipio		Espeluy							MITMA.IGN.NGMEP														Oficial						-3.86214441	38.03224667	30.0	424338.486613169	4209743.5968639	0904c4	23032000000	Jaén	23
1532	2706689	1.3	División administrativa.Municipio		Arcos de la Frontera							MITMA.IGN.NGMEP														Oficial						-5.80640518	36.74821011	30.0	249447.452147172	4070614.04522141	1049c3	11006000000	Cádiz	11
1545	2710879	1.3	División administrativa.Municipio		Casariche							MITMA.IGN.NGMEP														Oficial						-4.75917554	37.29540105	30.0	344076.503055636	4129093.64403643	1006c1	41026000000	Sevilla	41
