	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
1667	008-00695-00-00	2006-03-28	2006-06-06	527173.0	4235043.0	70.0
1673	009-00000-00-73	2009-03-10	2009-03-10	309731.0	4173944.0	0.0
1674	009-00001-01	2021-01-19	2021-03-23	247714.0	4147534.0	63.0
1676	009-00001-01-38	2021-03-10	2021-03-24	305.502	4.095648	14.0
1689	009-00004-01-01	2010-03-09	2010-11-16	340534.0	4175363.0	252.0
1690	009-00004-01-1	2015-07-27	2015-09-14	483087.0	4218339.0	49.0
1692	009-00004-11-15	2021-01-19	2021-03-23	247775.0	4142511.0	63.0
1696	009-00006-01-00	2009-03-10	2009-11-18	364720.0	4120025.0	253.0
1697	009-00006-01-01	2010-03-10	2010-11-17	364720.0	4120025.0	252.0
1701	009-00007-01-00	2009-03-11	2009-11-18	375416.0	4115512.0	252.0
1708	009-00009-09	2019-07-01	2019-10-07	364695.0	4159570.0	98.0
1709	009-00010-01	2017-04-20	2017-09-27	281347.108	4125438.899	160.0
1714	009-00015-01-01	2021-03-10	2021-03-24	314695.0	4103270.0	14.0
1717	009-00018-00-00	2006-03-30	2006-11-15	596499.0	4116409.0	230.0
1725	009-00025-03-00	2017-03-03	2017-11-07	312574.0	4138885.0	249.0
1730	009-00035-01-85	2021-03-10	2021-03-17	447468.0	4216835.0	7.0
1731	009-00038-01	2015-09-08	2015-10-14	434965.0	4114045.0	36.0
1734	009-00041-00-M0	2008-03-10	2008-09-30	289414.0	4077060.0	204.0
1736	009-00041-02-01	2011-03-29	2011-10-18	289414.0	4077060.0	203.0
1738	009-00042-01-00	2021-03-10	2021-03-24	320946.0	4134571.0	14.0
1743	009-00046-06-00	2020-05-05	2020-10-27	407163.0	4104311.0	175.0
1746	009-00052-02-01	2020-03-25	2020-08-19	279106.0	4126458.0	147.0
1756	009-00065-02-00	2009-03-10	2009-11-18	374497.0	4120025.0	253.0
1762	009-00072-01-0	2020-03-25	2020-11-03	441067.0	4148003.0	223.0
1763	009-00072-02	2021-03-02	2021-03-22	344048.0	4117264.0	20.0
1773	009-00089-01	2010-03-16	2010-11-10	443850.0	4149494.0	239.0
1774	009-00090-01	2011-03-23	2011-11-09	443719.0	4149414.0	231.0
1797	009-00113-03-1	2014-06-04	2014-11-12	365781.0	4120405.0	161.0
1799	009-00115-01-01	2015-03-18	2015-10-14	432836.0	4186846.0	210.0
1803	009-00119-00-00	2006-03-29	2006-09-11	432932.0	4187447.0	166.0
1807	009-00131-00-00	2006-05-29	2006-10-23	511919.0	4158164.0	147.0
1809	009-00133-01	2020-08-17	2020-08-17	421659.0	4169180.0	0.0
1812	009-00143-01-0	2009-03-11	2009-11-04	416873.0	4114225.0	238.0
1815	009-00149-01	2015-03-18	2015-10-28	415228.0	4210968.0	224.0
1824	009-00167-01	2020-03-16	2020-07-21	419984.0	4211816.0	127.0
1833	009-00203-00-00	2006-03-27	2006-11-07	503982.0	4168490.0	225.0
1840	009-00223-01	2015-05-20	2015-11-04	407344.0	4111250.0	168.0
1841	009-00223-01-0	2016-04-06	2016-07-20	407344.0	4111250.0	105.0
1843	009-00227-01-01	2011-03-14	2011-11-07	504587.0	4167124.0	238.0
1860	009-00321-00-00	2007-03-14	2007-11-14	421732.0	4168256.0	245.0
1861	009-00323-00-00	2006-06-07	2006-06-12	421580.0	4168155.0	5.0
1863	009-00398-00-00	2006-03-21	2006-04-24	404481.0	4193800.0	34.0
1869	01-0051-2	2021-03-08	2021-03-16	465500.0	4229906.0	8.0
1870	010-00001-00-00	2006-03-27	2006-11-13	377201.0	4192441.0	231.0
1875	010-00004-01	2021-03-02	2021-03-02	346672.0	4110644.0	0.0
1879	010-00007-01	2017-04-20	2017-09-27	279754.622	4126985.807	160.0
1885	010-00010-02	2017-03-08	2017-09-26	328836.0	4118639.0	202.0
1886	010-00010-10	2019-07-01	2019-10-07	364401.0	4162001.0	98.0
1889	010-00011-01-00	2015-04-01	2015-04-22	433898.0	4114093.0	21.0
1893	010-00013-00-B0	2007-03-13	2007-11-19	350170.0	4141073.0	251.0
1896	010-00016-03-01	2021-03-02	2021-03-16	339645.0	4114715.0	14.0
1900	010-00021-07-01	2021-03-02	2021-03-22	342868.0	4119510.0	20.0
1902	010-00026-02-01	2014-03-19	2014-11-19	327100.0	4217842.0	245.0
1904	010-00026-03	2020-07-08	2020-10-06	497776.0	4229466.0	90.0
1916	010-00048-01-01	2009-03-11	2009-11-17	331343.0	4169415.0	251.0
1921	010-00052-07	2015-08-31	2015-11-09	198864.0	4153079.0	70.0
1930	010-00065-00-00	2007-04-18	2007-10-30	202088.0	4133289.0	195.0
1938	010-00075-01-01	2021-03-16	2021-03-16	346883.0	4109754.0	0.0
1941	010-00076-02-00	2011-03-14	2011-10-31	439091.0	4189613.0	231.0
1944	010-00078-02-0	2020-04-07	2020-10-28	384457.84	4208466.16	204.0
1945	010-00083-03-00	2015-09-15	2015-10-21	369239.0	4116052.0	36.0
1948	010-00086-00-00	2006-03-07	2006-09-11	439337.0	4190736.0	188.0
1963	010-00137-00-00	2006-03-22	2006-11-15	459340.0	4185580.0	238.0
1965	010-00143-00-00	2006-08-16	2006-11-15	419303.0	4090578.0	91.0
1967	010-00151-03-00	2012-03-24	2012-04-30	567217.0	4102685.0	37.0
1970	010-00156-01	2015-09-16	2015-10-26	386228.0	4192128.0	40.0
1980	010-00174-01	2020-07-08	2020-10-05	497769.0	4222730.0	89.0
1981	010-00176-01	2020-04-06	2020-10-13	479009.94	4209795.22	190.0
1987	010-00187-01-01	2012-03-19	2012-11-20	366202.0	4207990.0	246.0
1994	010-00202-00-00	2011-05-25	2011-11-09	458881.0	4083032.0	168.0
1996	010-00205-01	2014-03-17	2014-10-28	424504.0	4183271.0	225.0
1997	010-00205-01-01	2013-03-18	2013-11-04	424504.0	4183271.0	231.0
1998	010-00205-01-1	2015-03-16	2015-06-01	424504.0	4183271.0	77.0
2000	010-00217-01-1	2011-06-01	2011-11-16	375658.0	4115010.0	168.0
2007	010-00251-00-00	2006-05-08	2006-11-06	442117.0	4157105.0	182.0
2013	010-00342-01-01	2015-03-24	2015-11-17	379899.0	4133400.0	238.0
2018	010-00357-01-0	2020-03-25	2020-11-04	439072.0	4150030.0	224.0
