	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
3485	023-00039-00-00	2006-03-13	2013-11-26	362856.0	4173588.0	2815
3486	023-00042-00-00	2007-03-13	2008-11-12	375274.0	4119943.0	610
3487	023-00042-01-0	2012-03-21	2012-11-22	375274.0	4119943.0	246
3488	023-00042-01-00	2009-03-11	2014-11-19	375274.0	4119943.0	2079
3489	023-00042-01-01	2010-03-10	2010-11-17	375274.0	4119943.0	252
3490	023-00043-00-00	2006-03-09	2014-11-25	368020.0	4174480.0	3183
3491	023-00045-00-00	2006-03-28	2010-08-03	427584.0	4211441.0	1589
3492	023-00046-01	2019-07-01	2019-09-16	367600.0	4174427.0	77
3493	023-00047-02-01	2010-03-09	2010-11-22	342223.0	4219483.0	258
3494	023-00051-00-00	2006-03-21	2010-03-16	483816.0	4229969.0	1456
3495	023-00055-00-00	2017-09-20	2017-10-18	313311.0	4103856.0	28
3496	023-00055-02-00	2017-03-22	2021-09-23	313205.0	4103653.0	1646
3497	023-00059-01-00	2017-03-09	2019-10-22	320023.0	4128496.0	957
3498	023-00061-00-00	2006-03-22	2006-11-22	385349.0	4213221.0	245
3499	023-00062-02	2018-03-06	2021-03-17	328191.0	4128000.0	1107
3500	023-00064-03-01	2017-03-15	2021-03-22	329346.0	4127930.0	1468
3501	023-00066-02	2012-03-13	2017-11-07	483925.0	4229861.0	2065
3502	023-00070-01-00	2010-03-17	2015-11-25	376972.0	4146517.0	2079
3503	023-00085-01	2021-03-12	2021-03-19	463841.0	4198377.0	7
3504	023-00086-01	2009-03-09	2021-03-23	409131.0	4147456.0	4397
3505	023-00086-07	2021-03-12	2021-03-19	463821.0	4196770.0	7
3506	023-00088-03	2015-03-19	2016-06-27	489847.0	4190097.0	466
3507	023-00088-03-01	2017-03-15	2021-03-22	326396.0	4129046.0	1468
3508	023-00089-00-80	2009-03-30	2011-11-08	464580.0	4196701.0	953
3509	023-00094-00-00	2006-03-08	2008-11-10	409617.0	4148231.0	978
3510	023-00095-04-1	2020-08-18	2020-11-03	414114.0	4161375.0	77
3511	023-00099-01-00	2020-03-04	2021-03-03	319557.0	4127763.0	364
3512	023-00100-00-00	2006-05-09	2006-11-13	446145.0	4178145.0	188
3513	023-00104-00-00	2006-03-14	2011-11-21	376954.0	4196034.0	2078
3514	023-00109-00-00	2006-04-16	2008-04-07	520481.06	4111107.12	722
3515	023-00109-01	2017-03-07	2017-10-03	326722.0	4126502.0	210
3516	023-00111-01-01	2017-03-15	2021-03-22	326741.0	4127241.0	1468
3517	023-00117-00-00	2006-03-27	2006-11-20	376065.0	4196165.0	238
3518	023-00117-00-01	2006-04-26	2009-10-28	149833.0	4145942.0	1281
3519	023-00119-02-05	2013-03-25	2014-03-24	483880.0	4229144.0	364
3520	023-00119-02-18	2014-03-17	2014-11-17	483880.0	4229144.0	245
3521	023-00122-00-00	2006-05-02	2007-11-14	393532.0	4147490.0	561
3522	023-00122-01-0	2020-03-10	2021-03-29			384
3523	023-00125-00-00	2006-06-23	2017-11-13	296250.0	4087315.0	4161
3524	023-00125-01-01	2018-04-04	2021-03-22	296250.0	4087315.0	1083
3525	023-00133-00-00	2008-03-24	2008-11-17	393085.0		238
3526	023-00137-00-00	2006-03-20	2006-11-20	462888.0	4171534.0	245
3527	023-00145-00-00	2006-03-15	2007-11-20	340675.0	4219782.0	615
3528	023-00145-02-01	2017-03-15	2021-03-15	462810.0	4171695.0	1461
3529	023-00147-00-00	2006-05-10	2011-10-31	462980.0	4171975.0	2000
3530	023-00153-00-00	2006-09-11	2009-11-03	410517.0	4159769.0	1149
3531	023-00174-00-00	2007-03-12	2007-11-28	383202.0	4130971.0	261
3532	023-00174-01	2012-09-25	2013-10-07			377
3533	023-00193-04-1	2018-03-27	2021-03-22	499095.0	4217548.0	1091
3534	023-00197-00-00	2010-03-29	2011-10-18	483967.0	4228425.0	568
3535	023-00213-00-00	2006-04-10	2006-11-13	165866.0	4147776.0	217
