codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days	lat	lon
004-00078-01-00	2015-05-04	2021-03-16	395085.0	4159465.0	2143	37.576257281119005	-4.18814186360227
002-00028-03-03	2015-06-01	2021-03-17	342321.0	4224626.0	2116	38.15574791476973	-4.799685300114756
022-00002-01-00	2015-06-30	2021-03-23	327515.0	4089311.0	2093	36.93407235282373	-4.936780588499827
045-00198-03-30	2015-07-08	2021-03-24	450058.0	4196543.0	2086	37.91506012799648	-3.568175779156146
027-00240-01-00	2015-07-01	2021-03-15	379160.6	4215018.5	2084	38.07487360391917	-4.37771469514936
014-00250-04-00	2015-07-01	2021-03-15	377926.6	4209501.0	2084	38.024994301432486	-4.390838866393362
005-00014-03-00	2015-07-01	2021-03-15	366103.0	4216328.8	2084	38.08483969566064	-4.526786211648293
028-00005-00-00	2012-03-02	2017-11-06	395919.0	4171312.0	2075	37.68311182845299	-4.180386317682014
023-00022-01-01	2013-03-15	2018-11-19	342807.0	4136050.0	2075	37.35786130686818	-4.774966299690311
011-00090-07-11	2015-03-16	2020-11-18	317076.0	4223164.0	2074	38.137812849673615	-5.087281974108534
001-00169-02-00	2015-03-18	2020-11-18	514957.0	4183377.0	2072	37.79764238729155	-2.8301075779453773
003-00881-01-00	2015-03-18	2020-11-18	520216.0	4183696.0	2072	37.80041629420084	-2.7703635357534857
006-00096-01	2015-03-17	2020-11-17	444582.0	4125978.0	2072	37.27874224656889	-3.6251276528930916
041-00001-05-01	2011-03-07	2016-11-07	366066.0	4108565.0	2072	37.11384514738738	-4.507483987932543
015-00336-01-01	2015-03-18	2020-11-18	516312.0	4182370.0	2072	37.78854292494968	-2.8147392434543255
016-00194-03-00	2015-03-18	2020-11-18	513391.0	4182521.0	2072	37.789951408651866	-2.8479110939900067
002-00293-01-01	2015-03-16	2020-11-16	457262.0	4156250.0	2072	37.552267054278175	-3.4838517957833544
004-00716-02-00	2015-03-18	2020-11-18	522114.0	4185791.0	2072	37.8192547536585	-2.7487400854635773
036-00011-01-01	2011-03-07	2016-11-07	357269.0	4106691.0	2072	37.09565898149537	-4.606106934852413
007-00123-04-02	2015-07-21	2021-03-22	449959.0	4184626.0	2071	37.80765072549383	-3.568476437866313
001-00216-01-00	2015-03-16	2020-11-13	409253.0	4204422.0	2069	37.98290549951731	-4.033342820358802
003-00375-02-02	2015-03-16	2020-11-11	455222.0	4153833.0	2067	37.530385130607186	-3.5067990560413222
015-00015-01-01	2015-03-16	2020-11-11	358548.0	4116063.0	2067	37.18030155432633	-4.593490451591925
041-00021-01	2015-03-10	2020-11-04	419662.0	4122451.0	2066	37.24513565722178	-3.90582300358625
018-00336-01-01	2015-07-27	2021-03-23	420036.0	4191752.0	2066	37.86973965616038	-3.909164115248252
005-00049-01-1	2015-07-27	2021-03-23	492196.0	4208853.0	2066	38.027347323782905	-3.08891955401358
013-00052-02-00	2011-03-15	2016-11-08	438708.0	4185525.0	2065	37.81506689149409	-3.6963584150018534
097-00030-01-01	2015-03-11	2020-11-04	344631.0	4099430.0	2065	37.02822537061785	-4.7467595227122725
023-00066-02	2012-03-13	2017-11-07	483925.0	4229861.0	2065	38.21657638385225	-3.183633426003743
002-00059-01	2014-03-18	2019-11-12	370081.0	4112178.0	2065	37.14696883485558	-4.462933802397507
072-00036-03-00	2014-03-12	2019-11-06	358108.0	4201852.0	2065	37.95319463944124	-4.615052582989637
047-00023-01-1	2015-07-28	2021-03-22	501995.0	4238925.0	2064	38.29840712736543	-2.977184451447629
004-00333-01-1	2015-07-28	2021-03-22	496117.0	4226136.0	2064	38.183139732177565	-3.044337346462313
043-00166-03	2015-08-03	2021-03-22	416787.0	4121312.0	2058	37.23461762453683	-3.938107921558447
038-00034-34	2015-08-04	2021-03-22	420935.0	4123450.0	2057	37.2542485212932	-3.891577426421713
060-00012-01-01	2014-03-17	2019-10-30	410803.0	4176981.0	2053	37.73576914284316	-4.012307299352552
003-00078-01-01	2015-03-31	2020-11-11	374063.0	4110789.0	2052	37.134996839790446	-4.417874114187532
007-00028-02	2015-08-04	2021-03-16	443066.0	4125232.0	2051	37.27192667956513	-3.6421703891666994
006-00001-03-00	2015-03-17	2020-10-26	446266.0	4191077.0	2050	37.86558133703426	-3.610906895334564
035-00096-01	2013-04-09	2018-11-14	454886.0	4197642.0	2045	37.92521738602432	-3.5133199877864496
029-00070-01-00	2015-04-06	2020-11-10	303376.0	4185619.0	2045	37.796799385473065	-5.233230943543432
015-00124-11	2015-03-18	2020-10-21	365155.0	4147141.0	2044	37.46131519531883	-4.524733670171305
033-00033-01-00	2013-04-10	2018-11-14	337144.0	4141332.0	2044	37.404471208524235	-4.840043959390957
007-00035-01	2015-08-03	2021-03-08	410629.0	4104154.0	2044	37.079405824291065	-4.005470963155218
008-00155-01-00	2014-03-31	2019-10-29	501054.0	4169766.0	2038	37.67508418666845	-2.988047620728074
015-00067-01-01	2015-03-17	2020-10-07	381599.0	4185854.0	2031	37.81240981564629	-4.345121503524812
010-00012-01-00	2011-05-11	2016-11-23	38690531.0	420876990.0	2023	-9999999.0	-9999999.0
010-00026-01	2015-09-17	2021-03-29	497832.1	4229391.92	2020	38.212489782086315	-3.0247637200876247
009-00012-01-30	2014-03-18	2019-09-03	446100.0	4189150.0	1995	37.84820424380315	-3.6126503047452534
044-00045-01	2012-03-13	2017-06-26	402509.0	4170000.0	1931	37.67201278344127	-4.105486623961764
013-00222-01-01	2015-07-20	2020-10-26	507732.0	4242541.0	1925	38.33096487729114	-2.9115344834745973
041-00009-01-00	2011-03-14	2016-06-20	422661.0	4217612.0	1925	38.103012854286106	-3.882107984222848
006-00442-01-01	2015-03-18	2020-05-06	375381.0	4140660.0	1876	37.40434989917103	-4.4080438534733535
009-00437-01	2015-09-01	2020-10-19	492184.0	4220806.0	1875	38.135076792851784	-3.0891870399497288
019-00276-01	2015-09-01	2020-10-19	495522.0	4219078.0	1875	38.11952558885243	-3.051086856921309
016-00283-01	2015-09-01	2020-10-19	490001.0	4214095.0	1875	38.07457086846633	-3.114002811908954
030-00090-01	2015-09-02	2020-10-19	491624.0	4213448.0	1874	38.068756093557845	-3.0954907498713515
026-00233-04	2015-09-02	2020-10-19	493418.0	4213719.0	1874	38.07121339488395	-3.0750407316779205
108-00011-01	2015-09-02	2020-10-14	485040.0	4205907.0	1869	38.000705568902475	-3.170394000313615
001-00076-01	2015-09-01	2020-10-13	488989.0	4223561.0	1869	38.15987331175559	-3.125687166307416
