	municipio	provincia	codigo_ngbe_text	huso_etrs89_regcan95	long_etrs89_regcan95	lat_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95
163	alcala la real	jaen		30				
164	alcaudete	jaen	División administrativa.Municipio	30	-4.08750989	37.59013356	403989.0928	4160896.935
165	andujar	jaen		30				
166	arjona	jaen	División administrativa.Municipio	30	-4.05446885	37.93559892	407338.2588	4199193.86
167	arjonilla	jaen	División administrativa.Municipio	30	-4.10757675	37.9742431	402722.2329	4203535.816
168	arquillos	jaen	División administrativa.Municipio	30	-3.43144008	38.18199961	462214.4353	4226096.511
169	baeza	jaen	División administrativa.Municipio	30	-3.4693067	37.99003004	458790.4352	4204812.718
170	bailen	jaen		30				
171	banos de la encina	jaen		30				
172	beas de segura	jaen	División administrativa.Municipio	30	-2.88730567	38.2506588	509860.4902	4233632.733
173	begijar	jaen		30				
174	belmez de la moraleda	jaen		30				
175	benatae	jaen	División administrativa.Municipio	30	-2.65078278	38.35363706	530512.5636	4245110.671
176	cabra de santo cristo	jaen		30				
177	cambil	jaen	División administrativa.Municipio	30	-3.56676191	37.67738522	450022.4115	4170172.309
178	campillo de arenas	jaen	División administrativa.Municipio	30	-3.63530988	37.55559065	443886.2711	4156698.375
179	canena	jaen	División administrativa.Municipio	30	-3.48147823	38.04885135	457755.4345	4211344.601
180	castillo de locubin	jaen		30				
181	cazalilla	jaen	División administrativa.Municipio	30	-3.88204485	37.9841708	422541.4264	4204425.697
182	cazorla	jaen	División administrativa.Municipio	30	-3.00134534	37.91223066	499881.7421	4196076.903
183	chiclana de segura	jaen	División administrativa.Municipio	30	-3.04258039	38.31234258	496277.4672	4240471.859
184	chilluevar	jaen		30				
185	escanuela	jaen		30				
186	frailes	jaen	División administrativa.Municipio	30	-3.83774832	37.48515683	425936.0176	4149024.127
187	fuensanta de martos	jaen	División administrativa.Municipio	30	-3.90576357	37.64735327	420096.2279	4167075.095
188	fuerte del rey	jaen	División administrativa.Municipio	30	-3.88436808	37.8739655	422221.3804	4192199.914
189	genave	jaen		30				
190	guardia de jaen  la	jaen		30				
191	guarroman	jaen		30				
192	hinojares	jaen	División administrativa.Municipio	30	-2.99833046	37.71580061	500147.145	4174283.271
193	hornos	jaen	División administrativa.Municipio	30	-2.72011968	38.21647421	524500.3589	4229870.746
194	huelma	jaen	División administrativa.Municipio	30	-3.4610967	37.65066057	459325.5442	4167156.214
195	huesa	jaen	División administrativa.Municipio	30	-3.07519675	37.76556641	493376.9642	4179807.307
196	ibros	jaen	División administrativa.Municipio	30	-3.50218019	38.02281711	455923.4478	4208465.613
197	iruela  la	jaen		30				
198	iznatoraf	jaen	División administrativa.Municipio	30	-3.0321245	38.15764742	497185.6032	4223307.051
199	jabalquinto	jaen	División administrativa.Municipio	30	-3.72456521	38.01947513	436401.5243	4208223.524
200	jaen	jaen		30				
201	jamilena	jaen	División administrativa.Municipio	30	-3.91151158	37.74666908	419696.3479	4178099.09
202	jimena	jaen	División administrativa.Municipio	30	-3.47640117	37.84187626	458083.4794	4188378.008
203	jodar	jaen		30				
204	larva	jaen	División administrativa.Municipio	30	-3.20142352	37.75901292	482257.8303	4179096.648
205	linares	jaen	División administrativa.Municipio	30	-3.63503009	38.0920657	444315.5542	4216220.36
206	lopera	jaen	División administrativa.Municipio	30	-4.21432714	37.94392635	393302.2249	4200288.862
207	lupion	jaen		30				
208	mancha real	jaen	División administrativa.Municipio	30	-3.61182745	37.78628089	446127.409	4182279.116
209	marmolejo	jaen	División administrativa.Municipio	30	-4.17086502	38.04499845	397262.2888	4211454.699
